2022-03-16 09:53:52,269 -> DEBUG :temp(): {'humidity': 70, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:53:57,333 -> DEBUG :temp(): {'humidity': 70, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:54:02,384 -> DEBUG :temp(): {'humidity': 70, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:54:07,469 -> DEBUG :temp(): {'humidity': 70, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:54:12,531 -> DEBUG :temp(): {'humidity': 70, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:54:17,583 -> DEBUG :temp(): {'humidity': 70, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:54:22,644 -> DEBUG :temp(): {'humidity': 70, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:54:27,706 -> DEBUG :temp(): {'humidity': 70, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:54:32,755 -> DEBUG :temp(): {'humidity': 70, 'temperature': 30.29999924, 'heat': 86.54000092, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:55:11,132 -> DEBUG :temp(): {'humidity': 70, 'temperature': 30.29999924, 'heat': 86.54000092, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:55:16,100 -> DEBUG :temp(): {'humidity': 70, 'temperature': 30.29999924, 'heat': 86.54000092, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:55:21,167 -> DEBUG :temp(): {'humidity': 70, 'temperature': 30.20000076, 'heat': 86.36000061, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:55:26,211 -> DEBUG :temp(): {'humidity': 71, 'temperature': 30.10000038, 'heat': 86.18000031, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:55:31,264 -> DEBUG :temp(): {'humidity': 71, 'temperature': 30, 'heat': 86, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:55:36,321 -> DEBUG :temp(): {'humidity': 71, 'temperature': 30, 'heat': 86, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:55:41,394 -> DEBUG :temp(): {'humidity': 71, 'temperature': 29.89999962, 'heat': 85.81999969, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:55:46,444 -> DEBUG :temp(): {'humidity': 71, 'temperature': 29.89999962, 'heat': 85.81999969, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:55:51,505 -> DEBUG :temp(): {'humidity': 71, 'temperature': 29.89999962, 'heat': 85.81999969, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:55:56,588 -> DEBUG :temp(): {'humidity': 71, 'temperature': 29.89999962, 'heat': 85.81999969, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:56:01,633 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.89999962, 'heat': 85.81999969, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:56:06,696 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.79999924, 'heat': 85.63999939, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:56:11,747 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.79999924, 'heat': 85.63999939, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:56:16,809 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.79999924, 'heat': 85.63999939, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:56:21,867 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:56:26,920 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.79999924, 'heat': 85.63999939, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:56:31,974 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:56:37,035 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:56:42,086 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:56:47,146 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:56:52,218 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:56:57,283 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:57:02,335 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:57:07,410 -> DEBUG :temp(): {'humidity': 72, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:57:12,466 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:57:17,523 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:57:22,575 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:57:27,636 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:57:32,699 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:57:37,750 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:57:42,805 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:57:47,869 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:57:52,930 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:57:57,981 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:58:03,041 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:58:08,104 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:58:13,152 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:58:18,211 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:58:23,256 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:58:28,312 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:58:33,365 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:58:38,417 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:58:43,475 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:58:48,535 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:58:53,584 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:58:58,644 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.5, 'heat': 85.09999847, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:03,704 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:08,762 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:13,827 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:18,881 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:23,930 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:28,989 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:34,050 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:39,102 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:44,162 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:49,219 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:54,268 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 09:59:59,321 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:04,380 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:09,445 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:14,490 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:19,636 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:24,650 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:29,712 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:34,766 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:39,826 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:44,885 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:49,931 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:00:54,998 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:01:00,044 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:01:05,095 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.60000038, 'heat': 85.27999878, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:01:10,155 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-16 10:01:15,216 -> DEBUG :temp(): {'humidity': 73, 'temperature': 29.70000076, 'heat': 85.45999908, 'timestamp': 1351824120, 'firmware': 0.1}
