2022-03-19 00:28:54,494 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:29:07,827 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:29:45,910 -> DEBUG :temp(): {'humidity': 74, 'temperature': 30.60000038, 'heat': 87.08000183, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:29:50,919 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:29:56,165 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:30:01,031 -> DEBUG :temp(): {'humidity': None, 'temperature': None, 'heat': None, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:30:05,995 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.79999924, 'heat': 87.44000244, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:30:11,051 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.60000038, 'heat': 87.08000183, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:30:16,109 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.60000038, 'heat': 87.08000183, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:30:21,168 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:32:37,837 -> DEBUG :temp(): {'humidity': 74, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:32:42,704 -> DEBUG :temp(): {'humidity': 74, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:32:47,762 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:33:37,229 -> DEBUG :temp(): {'humidity': 74, 'temperature': 30.70000076, 'heat': 87.26000214, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:33:42,194 -> DEBUG :temp(): {'humidity': 74, 'temperature': 30.70000076, 'heat': 87.26000214, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:33:47,265 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.79999924, 'heat': 87.44000244, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:33:52,330 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.79999924, 'heat': 87.44000244, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:33:57,442 -> DEBUG :temp(): {'humidity': 72, 'temperature': 30.79999924, 'heat': 87.44000244, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:54:49,720 -> DEBUG :temp(): {'humidity': 74, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:57:08,545 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:57:13,414 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.39999962, 'heat': 86.72000122, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:57:18,470 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.39999962, 'heat': 86.72000122, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:57:23,535 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:57:28,580 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 00:57:33,635 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:05:03,703 -> DEBUG :temp(): {'humidity': 74, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:05:08,564 -> DEBUG :temp(): {'humidity': 74, 'temperature': 30.39999962, 'heat': 86.72000122, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:05:13,628 -> DEBUG :temp(): {'humidity': 74, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:05:18,699 -> DEBUG :temp(): {'humidity': 74, 'temperature': 30.39999962, 'heat': 86.72000122, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:05:23,752 -> DEBUG :temp(): {'humidity': 74, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:05:28,826 -> DEBUG :temp(): {'humidity': 74, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:05:33,882 -> DEBUG :temp(): {'humidity': 74, 'temperature': 30.39999962, 'heat': 86.72000122, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:05:38,941 -> DEBUG :temp(): {'humidity': 74, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:05:43,989 -> DEBUG :temp(): {'humidity': 74, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:05:49,056 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:05:54,101 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:05:59,170 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:06:04,222 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:06:09,275 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:06:14,335 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:06:19,389 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:06:24,448 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:06:29,510 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:06:34,566 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:06:39,626 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:06:44,679 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:06:49,800 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:06:54,761 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:06:59,819 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:07:04,882 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:07:09,936 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:07:14,983 -> DEBUG :temp(): {'humidity': 73, 'temperature': 30.5, 'heat': 86.90000153, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:12:53,426 -> DEBUG :temp(): {'humidity': 72, 'temperature': 31.10000038, 'heat': 87.98000336, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:12:58,278 -> DEBUG :temp(): {'humidity': 72, 'temperature': 31, 'heat': 87.80000305, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:13:03,367 -> DEBUG :temp(): {'humidity': 73, 'temperature': 31, 'heat': 87.80000305, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:13:08,427 -> DEBUG :temp(): {'humidity': 73, 'temperature': 31, 'heat': 87.80000305, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:13:13,490 -> DEBUG :temp(): {'humidity': 73, 'temperature': 31, 'heat': 87.80000305, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:13:18,538 -> DEBUG :temp(): {'humidity': 72, 'temperature': 31, 'heat': 87.80000305, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:13:23,601 -> DEBUG :temp(): {'humidity': 73, 'temperature': 31, 'heat': 87.80000305, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:13:28,659 -> DEBUG :temp(): {'humidity': 72, 'temperature': 31, 'heat': 87.80000305, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:13:33,721 -> DEBUG :temp(): {'humidity': 73, 'temperature': 31, 'heat': 87.80000305, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:13:38,777 -> DEBUG :temp(): {'humidity': 73, 'temperature': 31, 'heat': 87.80000305, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:13:43,835 -> DEBUG :temp(): {'humidity': 73, 'temperature': 31, 'heat': 87.80000305, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:13:48,893 -> DEBUG :temp(): {'humidity': 73, 'temperature': 31, 'heat': 87.80000305, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:13:53,964 -> DEBUG :temp(): {'humidity': 73, 'temperature': 31, 'heat': 87.80000305, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:13:59,023 -> DEBUG :temp(): {'humidity': 72, 'temperature': 30.89999962, 'heat': 87.62000275, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:14:04,067 -> DEBUG :temp(): {'humidity': 72, 'temperature': 30.89999962, 'heat': 87.62000275, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:14:09,126 -> DEBUG :temp(): {'humidity': 72, 'temperature': 30.89999962, 'heat': 87.62000275, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:14:14,193 -> DEBUG :temp(): {'humidity': 72, 'temperature': 30.89999962, 'heat': 87.62000275, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:14:19,244 -> DEBUG :temp(): {'humidity': 72, 'temperature': 30.89999962, 'heat': 87.62000275, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:14:24,297 -> DEBUG :temp(): {'humidity': 72, 'temperature': 30.89999962, 'heat': 87.62000275, 'timestamp': 1351824120, 'firmware': 0.1}
2022-03-19 01:14:29,366 -> DEBUG :temp(): {'humidity': 72, 'temperature': 30.79999924, 'heat': 87.44000244, 'timestamp': 1351824120, 'firmware': 0.1}
